"# of Use","Anzahl der Verwendungen"
"%1$s incl tax.","%1$s inkl. Steuern"
"%s - %s","%s - %s"
"%s Item(s)","%s Artikel"
"%s and above","%s und darüber"
"%s-%s of %s","%s-%s von %s"
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Bitte aktualisieren Sie ""Artikelattribute"" in der -&gt; <a href=""%s"">Indexverwaltung</a> des Systems"
"Please select a static block ...","Wählen Sie bitte einen statischen Block..."
"Please select items.","Bitte wählen Sie Artikel."
"Please select one or more attributes.","Bitte wählen Sie ein oder mehrere Attribut(e)."
"Please select product(s).","Wählen Sie bitte einen Artikel."
"Please select products for attributes update","Wählen Sie bitte Artikel für die Aktualisierung der Merkmale"
"Please set up merge date/time","Bitte Datum/Zeit-Verbindung einrichten"
"Please set up merge date/time later then present date","Zusammenfassung von Datum/Uhrzeit einstellen und dann das Datum anzeigen"
"Please specify date required option(s).","Bitte die benötigten Datum-Optionen angeben."
"Please specify the number of products, that will not be divided into subintervals.","Geben sie bitte die Anzahl an Artikeln an, die nicht in Teilintervalle geteilt werden."
"Please specify the product required option(s)","Bitte die obligatorischen Artikeloption(en) angeben"
"Please specify the product required option(s).","Geben Sie bitte die obligatorischen Artikeloption(en) an."
"Please specify the product\'s option(s).","Bitte die Artikel-Optionen angeben."
"Please specify the product\'s required option(s).","Geben Sie bitte die obligatorischen Option(en) für den Artikel an."
"Please specify the quantity of product(s).","Geben Sie bitte die Anzahl an Artikeln an."
"Please specify time required option(s).","Bitte die benötigten Zeit-Optionen angeben."
"Please wait...","Bitte warten..."
"Position","Position"
"Position in Layered Navigation","Position in Filter-Navigation"
"Position of attribute in layered navigation block","Position des Attributs in Filter-Navigation"
"Prev","Vorschau"
"Previous","Vorige"
"Price","Preis"
"Price Navigation Step Calculation","Preis-Navigation Schritt Berechnung"
"Price Type","Preistyp"
"Price is not available","Preis ist nicht verfügbar"
"Price values for options should be specified in system base currency.","Preisangaben für Optionen sollten in der im Laden eingestellten Basiswährung eingegeben werden."
"Price:","Preis:"
"Price: %s","Preis: %s"
"Print This Page","Diese Seite drucken"
"Product","Artikel"
"Product API","Artikel-API"
"Product Alerts","Artikel Meldungen"
"Product Attribute","Artikel Attribut"
"Product Attributes","Artikel Attribute"
"Product Categories","Artikel Kategorien"
"Product Description","Artikel Beschreibung"
"Product Extra Info","Zusatzinfo Artikel"
"Product Flat Data","Artikel Flat Daten"
"Product ID","Artikel ID"
"Product Image Placeholders","Artikel Platzhalter-Bild"
"Product Image Watermarks","Artikel Wasserzeichen-Bild"
"Product Images","Artikel Bilder"
"Product Images API","Artikel Bilder-API"
"Product In Websites","Artikel auf Webseiten"
"Product Info Column","Artikel Informationsspalte"
"Product Information","Artikel Information"
"Product Link Block Template","Artikel-Link Blockvorlage"
"Product Link Inline Template","Artikel-Link Inlinevorlage"
"Product Listing Sort by","Artikelauflistung sortiert nach"
"Product Name","Artikel Bezeichnung"
"Product Prices","Artikel Preise"
"Product Reviews","Artikel Bewertungen"
"Product Tags","Artikel-Tags"
"Product Tier Price API","Artikelstaffelpreis API"
"Product Type","Artikeltyp"
"Product URL Suffix","URL-Suffix des Artikels"
"Product View Extra Hint","Artikelansicht extra Hint"
"Product attribute sets API","Artikel-Attributset API"
"Product attributes API","Artikelmerkmale API"
"Product collection expected.","Artikelsammlung erwartet."
"Product is not loaded","Artikel wurde nicht geladen"
"Product links API (related, cross sells, up sells)","Artikellink-API (Ähnliches, Cross-Selling, Up-Selling)"
"Product types API","API Artikeltypen"
"Product with this combination of attributes already associated to configurable.","Artikelkombination mit diesen Attributen existiert bereits im konfigurierbaren Artikel."
"Products","Artikel"
"Products Comparison List","Artikel Vergleichsliste"
"Products Information","Artikel Informationen"
"Products Reviews","Artikel Bewertungen"
"Products Sitemap","Artikel Webseite"
"Products only","Nur Artikel"
"Products per Page on Grid Allowed Values","Artikel pro Seite (erlaubte Werte für Tabelle)"
"Products per Page on Grid Default Value","Artikel pro Seite (Standardwert für Tabelle)"
"Products per Page on List Allowed Values","Artikel pro Seite (erlaubte Werte für Liste)"
"Products per Page on List Default Value","Artikel pro Seite (Standardwert für Liste)"
"Properties","Eigenschaften"
"Qty","Menge"
"Qty Increments","Menge Zuwachsrate"
"Qty Uses Decimals","Stückzahl kann dezimal sein"
"Qty for Item\'s Status to Become Out of Stock","Menge, bei der der Artikelstatus zu ""Nicht vorrätig"" wechselt"
"Qty:","Anzahl:"
"Quantity","Menge"
"Quick Create","Schnellanlegen"
"Quick Overview","Schnellübersicht"
"Quick simple product creation","Schnelle und einfache Artikelerstellung"
"Records for ""%s"" store found.","Datensätze für ""%s""-Laden gefunden."
"Redirect","Umleiten"
"Redirect URL","Weiterleitungs-URL"
"Regular Price:","Regulärer Preis:"
"Related Products","Zubehör"
"Remove","Löschen"
"Remove Product From Websites","Artikel von Webseiten entfernen"
"Remove This Item","Diesen Gegenstand entfernen"
"Remove attribute from attribute set","Attribut aus dem Attributsatz entfernen"
"Remove attribute set","Attributsatz entfernen"
"Remove custom option","Benutzerdefinierte Option entfernen"
"Remove group from attribute set","Gruppe aus dem Attributsatz entfernen"
"Remove option","Option löschen"
"Remove product assignment","Artikelzuweisungen entfernen"
"Remove product image","Artikelbild entfernen"
"Remove product link","Artikellink entfernen"
"Remove value from custom option","Wert aus benutzerdefinierter Option löschen"
"Rename existing group","Existierende Gruppe umbenennen"
"Rename group","Gruppe umbenennen"
"Reorganize EAV category structure to flat structure","EAV Kategorie-Struktur in Flat-Struktur umwandeln"
"Reorganize EAV product structure to flat structure","EAV Artikel-Struktur in Flat-Struktur umwandeln"
"Reset","Zurücksetzen"
"Results","Ergebnisse"
"Results per page","Ergebnisse pro Seite"
"Retrieve attribute data","Merkmalsdaten abfragen"
"Retrieve attribute list","Attributliste abrufen"
"Retrieve attribute options","Optionen für Attribute abrufen"
"Retrieve categories tree","Kategorien abfragen"
"Retrieve category attributes","Kategorieattribute abrufen"
"Retrieve category data","Kategoriedaten abrufen"
"Retrieve hierarchical tree","Hierarchischen Baum abrufen"
"Retrieve linked products","Verknüpfte Artikel abrufen"
"Retrieve list of assigned products","Liste mit zugewiesenen Artikeln abrufen"
"Retrieve list of option values","Liste mit Optionswerten abrufen"
"Retrieve list of product custom options","Liste der benutzerdefinierten Artikeloptionen abrufen"
"Retrieve one level of categories by website/store view/parent category","Eine Ebene von Kategorien pro Webseite/StoreView/Überkategorie abrufen"
"Retrieve option value info","Optionswert-Informationen abrufen"
"Retrieve product","Artikel abrufen"
"Retrieve product attribute sets","Artikelmerkmale abfragen"
"Retrieve product image","Artikelbild abrufen"
"Retrieve product image list","Liste der Artikelbilder abfragen"
"Retrieve product image types","Artikel-Bildtypen abrufen"
"Retrieve product link type attributes","Attribute des Artikel-Linktyps abrufen"
"Retrieve product link types","Artikel-Linktypen abrufen"
"Retrieve product tier prices","Artikel-Staffelpreise abrufen"
"Retrieve product types","Artikeltypen abrufen"
"Retrieve products data","Artikeldaten abfragen"
"Retrieve products list by filters","Artikel-Liste gemäß Filter abrufen"
"Reviews","Bewertungen"
"Roll Over for preview","Darüber scrollen für eine Vorschau"
"Root","Root"
"SKU","Artikelnummer (SKU)"
"SKU length should be %s characters maximum.","Die SKU-Länge sollte maximal %s Zeichen betragen"
"Save","speichern"
"Save Attribute","Eigenschaft speichern"
"Save Attribute Set","Merkmale speichern"
"Save Category","Kategorie speichern"
"Save Search","Suche speichern"
"Save and Continue Edit","Speichern und Bearbeitung fortsetzen"
"Saved %d record(s)","%d gespeicherte(r) Eintrag/Einträge"
"Scope","Geltungsbereich"
"Scope must not be changed, because the attribute is used in configurable products.","Der Geltungsbereich darf nicht geändert werden, da dieses Attribut bei konfigurierbaren Artikeln verwendet wird."
"Search","Suche"
"Search Engine Optimizations","Optimierung für Suchmaschinen"
"Search Information","Suchinformationen"
"Search Query","Suchanfrage"
"Search Term with such search query already exists.","Suchbegriff mit dieser Suchanfrage existiert bereits."
"Search Weight","Gewicht durchsuchen"
"Searchable","Suchbar"
"See price before order confirmation.","Preis vor Bestellbestätigung ansehen."
"Select Category...","Kategorie auswählen…"
"Select Configurable Attributes ","Konfigurierbare Merkmale auswählen"
"Select Product...","Artikel aussuchen…"
"Select type of option","Optionsart auswählen"
"Select type options required values rows.","Typenoptionen für benötigte Wertezeilen auswählen."
"Selected Product Types","Ausgewählte Artikeltypen"
"Send Count","Zählerstand senden"
"Set Ascending Direction","Aufsteigende Sortierung einstellen"
"Set Descending Direction","In absteigender Reihenfolge"
"Set Name","Name des Attributsets"
"Set Product as New from Date","Artikel als neu markieren von"
"Set Product as New to Date","Artikel als neu markieren bis"
"Set Root Category for Store","Stammkategorie für Laden festlegen"
"Set root category for this store in the <a href=""%s"">configuration</a>","Stellen Sie eine Stammkategorie für diesen Laden in der <a href=""%s"">Konfiguration</a> ein."
"Set special price","Sonderpreis festlegen"
"Set/Get current store view","Aktuelle Ladenansicht auswählen/anfordern"
"Settings","Einstellungen"
"Share Facebook","Facebook teilen"
"Share on Facebook","Auf Facebook teilen"
"Share on Twitter","Auf Twitter teilen"
"Shop By","Laden nach"
"Shopping Options","Einkaufsoptionen"
"Short Description","Kurzbeschreibung"
"Show","Anzeigen"
"Show Details","Details anzeigen"
"Show Tags","Schlagworte anzeigen"
"Simple Product","Einfache Artikel"
"Site Map","Sitemap-Oberfläche"
"Sitemap","Sitemap-Oberfläche"
"Skip import row, is not valid value ""%s"" for field ""%s""","Import-Zeile überspringen, kein gültiger Wert ""%s"" für Feld ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Import der Reihe übersprungen. Das benötigte Feld ""%s"" für den neuen Kunden ist nicht definiert."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Import-Zeile überspringen, der Wert ""%s"" ist für Feld ""%s"" nicht gültig"
"Skipping import row, required field ""%s"" for new products is not defined.","Importzeile übersprungen, das benötigte Feld ""%s"" für neue Artikel ist nicht definiert"
"Skipping import row, required field ""%s"" is not defined.","Import der Reihe wird jetzt übersprungen. Das benötigte Feld ""%s"" ist nicht definiert."
"Skipping import row, store ""%s"" field does not exist.","Import-Zeile wird übersprungen, ""%s"" Feld als nicht vorhanden speichern"
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Import der Reihe übersprungen. Der Wert ""%s"" ist nicht gültig für das Feld ""%s""."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Für einige der verarbeiteten Artikel wurde kein SKU-Wert angegeben. Bitte geben Sie diese an, bevor Sie diese Artikel weiter bearbeiten."
"Some of the selected item options are not currently available.","Einige ausgewählte Elementoptionen sind zurzeit nicht verfügbar."
"Sort By","Sortieren nach"
"Sort Order","Sortierfolge"
"Source Model","Source-Modell"
"Special Expires On: %s","Angebot läuft ab am: %s"
"Special Price","Sonderpreis"
"Special Price:","Sonderpreis:"
"Special Price: %s","Sonderpreis: %s"
"Special Price From Date","Sonderpreis ab dem"
"Special Price To Date","Sonderpreis bis zum"
"Starting at:","Ab:"
"Static","Statisch"
"Static block and products","Statischer Block und Artikel"
"Static block only","Nur statischer Block"
"Status","Status"
"Stock Availability","Lagerbestand"
"Store","Laden"
"Store View","Ladenansicht"
"Stretch","Dehnen"
"Subscribe to RSS Feed","Für RSS Feed anmelden"
"Super product attributes configuration","Überartikel Attribut-Konfiguration"
"Synonym For","Synonym für"
"System Properties","Systemeinstellungen"
"Tag Name","Tagname"
"Tax","Steuer"
"Template","Vorlage"
"Text","Text"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Der Wohnungskatalog lässt sich nur nach %2\$d Eigenschaften durchsuchen oder sortieren. Im Moment sind aber %1\$d angegeben. Für die Verwendung dieses Moduls verringern sie bitte die Anzahl der Filter-/Sortiereigenschaften."
"The From Date value should be less than or equal to the To Date value.","Der ""von Datum""-Wert sollte kleiner oder gleich dem ""bis Datum""-Wert sein."
"The attribute code \'%s\' is reserved by system. Please try another attribute code","Der Attributkode \'%s\' wurde vom System reserviert. Bitte probieren Sie einen anderen Attributkode aus."
"The attribute model is not defined","Das Attributmuster ist nicht definiert"
"The attribute set has been saved.","Die Merkmale wurden gespeichert"
"The base directory to upload file is not specified.","Das Basisverzeichnis, in das die Datei hochgeladen werden soll, wurde nicht angegeben."
"The category has been deleted.","Die Kategorie wurde gelöscht."
"The category has been saved.","Die Kategorie wurde gespeichert."
"The comparison list was cleared.","Die Vergleichsliste wurde geleert."
"The file '%s' for '%s' has an invalid extension","Die Datei '%s' für '%s' hat eine unerlaubte Dateiendung"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Die von Ihnen hochgeladene Datei '%s' ist größer als die vom Server erlaubten %s Megabyte"
"The file you uploaded is larger than %s Megabytes allowed by server","Die Datei, die Sie hochladen möchten, ist größer als die vom Server erlaubten %s Megabytes."
"The filters must be an array.","Die Filter müssen als Array vorliegen."
"The image contents is not valid base64 data.","Die Bildinhalte sind keine gültigen Base64-Daten."
"The image is not specified.","Das Bild ist nicht angegeben."
"The model collection resource name is not defined.","Der Ressourcenname der Modellsammlung ist nicht definiert."
"The product %s has been added to comparison list.","Der Artikel %s wurde zur Vergleichsliste hinzugefügt."
"The product %s has been removed from comparison list.","Der Artikel %s wurde von Vergleichsliste entfernt."
"The product attribute has been deleted.","Das Artikelattribut wurde gelöscht."
"The product attribute has been saved.","Das Artikelattribut wurde gespeichert."
"The product has been created.","Der Artikel wurde angelegt."
"The product has been deleted.","Der Artikel wurde gelöscht."
"The product has been duplicated.","Der Artikel wurde dupliziert."
"The product has been saved.","Der Artikel wurde gespeichert."
"The product has required options","Der Artikel hat Pflichtangaben"
"The review has been deleted","Diese Bewertung wurde gelöscht"
"The review has been saved.","Diese Bewertung wrude gespeichert."
"The review was removed by another user or does not exist.","Diese Bewertung wurde von einem anderen Benutzer entfernt oder existiert nicht."
"The search was deleted.","Diese Suche wurde gelöscht."
"The text is too long","Der Text ist zu lang"
"There are no %s available.","Es sind keine %s verfügbar."
"There are no customers for this alert","Es gibt keine Kunden für diesen Wanhinweis"
"There are no customers for this alert.","Es gibt keine Kunden für diesen Wanhinweis."
"There are no products matching the selection.","Es gibt keine Artikel, die dieser Auswahl entsprechen."
"There was an error while request processing.","Bei der Bearbeitung der Anfrage ist ein Fehler aufgetreten."
"This Attribute no longer exists","Dieses Merkmal existiert nicht mehr"
"This attribute cannot be deleted.","Diese Eigenschaft kann nicht gelöscht werden."
"This attribute cannot be edited.","Dieses Merkmal kann nicht bearbeitet werden."
"This attribute cannot be updated.","Diese Eigenschaft kann nicht aktualisiert werden."
"This attribute is used in configurable products.","Das Attribut wurde in konfigurierbaren Artikeln verwendet."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Diese Eigenschaft wird für konfigurierbare Artikel benötigt. Sie können sie nicht aus dem Eigenschaftenset entfernen."
"This attribute no longer exists","Dieses Attribut existiert nicht mehr."
"This attribute set no longer exists.","Dieses Eigenschaftenset existiert nicht mehr."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Diese Gruppe enthält Eigenschaften, die für konfigurierbare Artikel benutzt werden. Bitte verschieben Sie diese Eigenschaften in eine andere Gruppe und versuchen Sie es noch einmal."
"This group contains system attributes. Please move system attributes to another group and try again.","Diese Gruppe enthält System Eigenschaften. Bitte verschieben Sie System Eigenschaften in eine andere Gruppe und versuchen Sie es noch einmal."
"This is a required option","Dies ist eine obligatorische Option"
"This product no longer exists.","Dieser Artikel existiert nicht mehr."
"This search no longer exists.","Diese Suche existiert nicht mehr."
"This setting will be applied when all prices in the specific price interval are equal.","Diese Einstellung wird angewandt, wenn alle Preise in dem spezifischen Preisintervall gleich sind."
"Tier Price","Staffelpreis"
"Tier Pricing","Preisebene"
"Tile","Kachel"
"Time Format","Zeitformat"
"Title","Titel"
"To reindex the enabled product(s), the store or product must be specified","Um die aktivierten Artikel neu zu indexieren, muss der Laden oder der Artikel angegeben werden."
"To see product price, add this item to your cart. You can always remove it later.","Um den Artikelpreis sehen zu können, müssen Sie das Artikel in Ihren Warenkorb legen. Sie können es später wieder löschen."
"Top/Left","Oben links"
"Top/Right","Oben/Rechts"
"Total Qty Base Items","Gesamtanzahl der Artikel bei Google Base"
"Total Qty Content Items","Gesamtmenge der Content-Artikel"
"Total incl. Tax: %1$s","Gesamtsumme inkl. Steuern: %1$s"
"Total of %d record(s) have been deleted.","Insgesamt %d Einträge wurden gelöscht."
"Total of %d record(s) have been updated.","Insgesamt %d Einträge wurden aktualisiert."
"Total of %d record(s) were updated","Insgeamt wurde(n) %d Aufzeichnung(en) aktualisiert"
"Type","Typ"
"URL Rewrite Management","URL-Rewrite Verwaltung"
"Unable to complete this request.","Anfrage konnte nicht ausgeführt werden."
"Unable to find a search term to delete.","Es wurde kein Suchbegriff zum Löschen gefunden."
"Unable to find an attribute to delete.","Es wurde kein Attribut zum Löschen gefunden."
"Unable to get the product ID.","Artikelnummer konnte nicht ermittelt werden."
"Unassigned Attributes","Nicht zugewiesene Attribute"
"Unknown EAV indexer type ""%s"".","Unbekannter EAV Indizierungstyp ""%s""."
"Unknown attribute: %s.","Unbekanntes Attribut: %s."
"Unsupported product type ""%s"".","Nicht unterstützter Artikel-Typ ""%s""."
"Up-sells","Up-Selling"
"Update","Aktualisieren"
"Update Attributes","Attribute aktualisieren"
"Update Tier Price","Staffelpreise aktualisieren"
"Update assigned product","Zugewiesenen Artikel aktualisieren"
"Update attribute","Attribut aktualisieren"
"Update attributes","Attribute aktualisiert"
"Update category","Kategorie aktualisieren"
"Update custom option of product","Benutzerdefinierte Option des Artikel aktualisieren"
"Update product","Artikel aktualisieren"
"Update product image","Artikelbild aktualisieren"
"Update product link","Artikellink aktualisieren"
"Update product tier prices","Artikelstaffelpreise aktualisieren"
"Update value of custom option","Wert der benutzerdefinierten Option aktualisieren"
"Upload new product image ","Neues Artikelbild hochladen"
"Use Canonical Link Meta Tag For Categories","Canonical Link Element für Kategorien verwenden"
"Use Canonical Link Meta Tag For Products","Canonical Link Meta Tag für Artikel nutzen"
"Use Categories Path for Product URLs","Kategoriepfad für Artikel-URLs verwenden"
"Use Config Settings","Konfigurationseinstellungen verwenden"
"Use Default Value","Verwende voreingestellten Wert"
"Use Flat Catalog Category","Flat-Katalog-Kategorie verwenden"
"Use Flat Catalog Product","Flat-Katalog-Artikel verwenden"
"Use In Layered Navigation","Filternavigation auf Suchergebnisseiten verwenden"
"Use In Search Results Layered Navigation","Navigation in Suchergebnissen nutzen"
"Use JavaScript Calendar","JavaScript-Kalender verwenden"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Statische URLs für Medieninhalt in WYSIWYG für Katalog nutzen"
"Use To Create Configurable Product","Zum Anlegen konfigurierbarer Artikel verwenden"
"Use Tree Like Category Sitemap","Kategorie-Sitemap in Baumansicht verwenden"
"Use config","Konfiguration verwenden"
"Use default","Voreinstellung verwenden"
"Use for Promo Rule Conditions","Für Promo Regelbedingungen verwenden"
"Use four-digit year format.","Das 4-stellige Jahresformat verwenden."
"Use in Advanced Search","In erweiterter Suche verwenden"
"Use in Layered Navigation","In mehrschichtiger Navigation verwenden"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","In Filter-Navigation verwenden<br/>(Kann nur mit Katalog-Eingabeart Auswahlmenü verwendet werden)"
"Use in Quick Search","In Schnellsuche verwenden"
"Used for Sorting in Product Listing","Als Sortiermöglichkeit in Kategorieansicht verwendbar"
"Used in Product Listing","In Kategorieansicht verwenden"
"Value for ""%s"" is invalid.","Wert für ""%s"" ist ungültig."
"Value for ""%s"" is invalid: %s","Wert für ""%s"" ist ungültig: %s"
"Varchar","Varchar"
"View Details","Details anzeigen"
"View as","Darstellung als"
"Virtual Product","Virtuelle Artikel"
"Visibility","Sichtbarkeit"
"Visible","Sichtbar"
"Visible on Catalog Pages on Front-end","Sichtbar auf Katalogseiten im Frontend"
"Visible on Product View Page on Front-end","Sichtbar auf Artikel-Infoseite im Frontend"
"WYSIWYG Editor","WYSIWYG Editor"
"Watermark","Wasserzeichen"
"Watermark Default Size","Wasserzeichen Größe (voreingestellt)"
"Watermark Opacity, Percent","Wasserzeichen Deckkraft in Prozent (%)"
"Watermark Position","Wasserzeichen Position"
"We Also Recommend","Wir empfehlen auch"
"Website","Webseite"
"Website Item Must be checked","Webseite Artikel muss geprüft sein"
"Website Store Must be checked","Webseite Laden muss geprüft werden"
"Websites","Webseiten"
"What's this?","Was ist das?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Soll die Auswahl ""alle Artikel anzeigen"" in der Auswahlbox ""Zeige x Artikel pro Seite"" erscheinen?"
"Will make search for the query above return results for this search.","Werde für die obenstehende Frage eine Suche starten und die Suchergebnisse mitteilen."
"Wrong BuyRequest instance in options group.","Falsche Kauf-Anfrage der Instanz in der Options-Gruppe."
"Wrong configuration item instance in options group.","Falsches Konfigurationselement Beispiel in Gruppe Optionen."
"Wrong configuration item option instance in options group.","Falsches Konfigurationselement Optionsbeispiel in Gruppe Optionen."
"Wrong option instance type in options group.","Falscher Optionsinstanz-Typ in der Options-Gruppe."
"Wrong option type to get group instance.","Falscher Options-Typ, um die Gruppen-Instanz zu erhalten."
"Wrong product instance type in options group.","Falsches Artikelbeispiel in der Options-Gruppe."
"Wrong product type filter specified","Falscher Artikeltyp Filter festgelegt"
"Wrong product type to extract configurable options.","Falscher Artikel-Typ, um konfigurierbare Optionen zu extrahieren."
"Year Range","Jahres-Zeitraum"
"Yes","Ja"
"You cannot remove system attribute from this set.","Dieses Systemattribut kann aus dieser Gruppe nicht entfernt werden."
"You have no items to compare.","Sie haben keine Gegenstände zum Vergleich."
"You may also be interested in the following product(s)","Sie könnten auch an folgenden Artikeln interessiert sein"
"Zoom In","Vergrößern"
"Zoom Out","Verkleinern"
"and","und"
"and above","darüber"
"categories","Kategorien"
"comma separated","Komma separiert"
"each","jede"
"ex. http://domain.com","z.B. http://domain.com"
"leave blank if its not an image","Leer lassen, falls es kein Bild ist"
"per page","pro Seite"
"products","Artikel"
"px.","px."
"save","Sie sparen"
"select all","Alles auswählen"
"unselect all","Alles abwählen"
"x","x"
