"Same As Billing Address","wie Rechnungsanschrift"
"Save Order Address","Bestelladresse speichern"
"Save Status","Status speichern"
"Save Status Assignment","Status Zuordnung speichern"
"Save in address book","Im Adressbuch speichern"
"Schedule","planen"
"Select from existing customer addresses:","Aus bestehenden Kundenadressen:"
"Send Credit Memo Comment Email Copy To","Sende Gutschriftenkommentar in Kopie an E-Mail"
"Send Credit Memo Email Copy To","Sende Gutschrift in Kopie an E-Mail"
"Send Email","Sende E-Mail"
"Send Invoice Comment Email Copy To","Sende Rechnungskommentar in Kopie an E-Mail"
"Send Invoice Email Copy To","Sende Rechnung in Kopie an E-Mail"
"Send Order Comment Email Copy To","Sende Bestellkommentar in Kopie an E-Mail"
"Send Order Email","Bestell E-Mail versenden"
"Send Order Email Copy Method","Sende Bestellung als Kopie mit der Methode"
"Send Order Email Copy To","Sende Bestellung als Kopie an E-Mail Adresse"
"Send Sales Emails","Sende Verkaufs E-Mails"
"Send Shipment Comment Email Copy To","Sende Versandkommentar in Kopie an E-Mail"
"Send Shipment Email Copy To","Sende Versandinformationen in Kopie an E-Mail"
"Send Tracking Information","Trackinginformationen senden"
"Set order for existing transactions not allowed","Set order for existing transactions not allowed"
"Ship","Senden"
"Ship To","Senden an"
"Ship to Name","Versand - Name"
"Shipment","Versand"
"Shipment #","Versand #"
"Shipment #%1$s | %3$s (%2$s)","Versand #%1$s | %3$s (%2$s)"
"Shipment #%s","Versand #%s"
"Shipment Comment Email Sender","Versandkommentar E-Mail-Absender"
"Shipment Comment Email Template","Versandkommentar E-Mail-Vorlage"
"Shipment Comment Email Template for Guest","Versandkommentar E-Mail-Vorlage für Gäste"
"Shipment Comments","Versandkommentare"
"Shipment Email Sender","Versand E-Mail-Absender"
"Shipment Email Template","Versand E-Mail-Vorlage"
"Shipment Email Template for Guest","Versand E-Mail-Vorlage für Gäste"
"Shipment Update","Versand Aktualisierung"
"Shipment Update for Guest","Versand Aktualisierung für Gäste"
"Shipments","Sendungen"
"Shipped","Versandt"
"Shipped By","Versandt von"
"Shipping","Versand"
"Shipping & Handling","Versand & Bearbeitung"
"Shipping &amp; Handling","Versand &amp; Bearbeitung"
"Shipping &amp; Handling Information","Informationen zu Versand &amp; Bearbeitung"
"Shipping Address","Versandadresse"
"Shipping Amount","Versandbetrag"
"Shipping Information","Versandinformation"
"Shipping Method","Versandart"
"Shipping Method:","Versandart:"
"Shipping Refund","Versanderstattung"
"Shipping and Tracking Information","Versand- und Trackinginformationen"
"Shopping Cart","Warenkorb"
"Signed Up From","Anmeldung in"
"Sku","Artikelnummer"
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Some of the products below do not have all the required options. Please edit them and configure all the required options."
"Sorry, no quotes are available for this order at this time.","Entschuldigung, momentan gibt es keine Angebote für diese Bestellung."
"Source object is not specified.","Quellobjekt ist nicht näher bestimmt."
"Specified profile does not exist.","Festgelegtes Profil existiert nicht."
"State Code [State Title]","Zustands Code [Zustands Titel]"
"State/Province","Land/Bundesland"
"Status","Status"
"Status Code","Status Code"
"Status Label","Status Label"
"Status:","Status:"
"Store Credit","Shop-Guthaben"
"Store View Specific Labels","Store View Spezifische Labels"
"Street Address","Anschrift"
"Submit Comment","Kommentar übermitteln"
"Submit Credit Memo","Gutschrift übermitteln"
"Submit Invoice","Rechnung übermitteln"
"Submit Invoice and Shipment","Rechnung und Versandmitteilung übermitteln"
"Submit Order","Bestellung übermitteln"
"Submit Shipment","Sendung übermitteln"
"Subscribe to Newsletter","Für Newsletter anmelden"
"Subscribe to Order Status","Bestellstatus abonnieren"
"Subtotal","Zwischensumme"
"Subtotal after discount.","Zwischensumme nach Rabatt."
"Subtotal:","Zwischensumme:"
"Suspected Fraud","Betrugsverdacht"
"Suspend","Aufschieben"
"Suspended","Aufgeschoben"
"Tax","Steuern"
"Tax Amount","Steuerbetrag"
"Tax Percent","Prozentsatz Steuern"
"Telephone","Telefon"
"The Order State "%s" must not be set manually.","Der Bestellzustand "%s" muss nicht manuell gesetzt werden."
"The address total model should be extended from Mage_Sales_Model_Quote_Address_Total_Abstract.","The address total model should be extended from Mage_Sales_Model_Quote_Address_Total_Abstract."
"The billing agreement "%s" has been canceled.","Die Verkaufsbedingung "%s" wurde storniert."
"The billing agreement "%s" has been created.","Die Verkaufsbedingung "%s" wurde erstellt."
"The coupon code has been accepted.","Der Gutscheiun-Code wurde akzeptiert."
"The message has been sent.","The Nachricht wurde versendet."
"The message was sent.","Die Nachricht wurde versendet."
"The order address has been updated.","Die Bestelladresse wurde aktualisiert."
"The order email has been sent.","Die Bestellbestätigung wurde versendet."
"The order has been cancelled.","Die Bestellung wurde storniert."
"The order has been created.","Die Bestellung wurde erstellt."
"The order has been put on hold.","Die Bestellung wurde zurückgestellt."
"The order has been released from holding status.","Die Bestellung wurde wieder aufgenommen."
"The order has not been cancelled.","Die Bestellung wurde nicht storniert."
"The order status has been assigned.","Der Bestell-Status wurde zugewiesen."
"The order status has been saved.","Der Bestell-Status wurde gespeichert."
"The order status has been unassigned.","Der Bestell-Status wurde gelöst."
"The order was not put on hold.","Die Bestellung wurde nicht auf zurückgestellt gesetzt."
"The order was not unheld.","Die Bestellung wurde nicht zurückgestellt."
"The order was placed using %s","Die Bestellung die getätigt wurde verwendet %s"
"The order(s) cannot be canceled","Die Bestellung(en) können nicht storniert werden"
"The payment has been accepted.","Die Zahlung wurde akzeptiert."
"The payment has been denied.","Die Zahlung wurde verweigert."
"The payment has been voided.","Die Zahlung wurde aufgehoben."
"The profile has been updated.","Das Profil wurde aktualisiert."
"The profile has no changes.","Das Profil hat keine Veränderungen."
"The profile state has been updated.","Der Pofil-Zustand wurde aktualisiert."
"The requested Payment Method is not available.","Die angeforderte Zahlungsmethode ist nicht verfügbar."
"The transaction "%s" (%s) is already closed.","Die Transaktion "%s" (%s) ist bereits geschlossen."
"The transaction "%s" cannot be captured yet.","Die Transaktion "%s" konnte noch nicht zugewiesen werden."
"There are no billing agreements yet.","Es liegen noch keine Verkaufsbedingungen vor."
"There are no printable documents related to selected orders.","There are no printable documents related to selected orders."
"There is no need to approve this payment.","Es gibt keinen Grund die Zahlung zu akzeptieren."
"There is no need to deny this payment.","Es gibt keinen Grund die Zahlung zu verweigern."
"There is no update for the payment.","Es liegt keine Aktualisierung der Zahlung vor."
"This message will be shown in shopping cart when subtotal after discount less than minimum amount.","Diese Mitteilung wird im Warenkorb angezeigt, wenn die Zwischensumme nach Rabatten geringer als der Mindestbetrag ist"
"This operation requires an existing transaction object.","Dieser Vorgang erfordert einen gültigen Transaktions-Objekt."
"This order contains (%s) items and therefore cannot be edited through the admin interface at this time, if you wish to continue editing the (%s) items will be removed, the order will be canceled and a new order will be placed.","This order contains (%s) items and therefore cannot be edited through the admin interface at this time, if you wish to continue editing the (%s) items will be removed, the order will be canceled and a new order will be placed."
"This order no longer exists.","Diese Bestellung existiert nicht mehr."
"This product does not have any configurable options.","This product does not have any configurable options."
"This product has not been configured.","This product has not been configured."
"This profile state cannot be changed to "%s".","Dieser Profilzustand konnte nicht zu "%s" abgeändert werden."
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you wish to proceed?","Es wird eine online Erstattung erstellt. Um eine online Erstattung durchzuführen, öffnen Sie bitte eine Rechnung und Erstellen Sie eine Gutschrift. Möchten Sie das tun / fortsetzen?"
"Tier Pricing","Staffelpreise"
"Title","Titel"
"To","An"
"To Name","Name"
"To:","An:"
"Total","Gesamt"
"Total %d product(s)","Gesamt %d Artikel"
"Total (ex)","Total (ex)"
"Total (inc)","Total (inc)"
"Total Due","Gesamtbetrag fällig"
"Total Invoiced","Insgesamt in Rechnung gestellt"
"Total Invoiced Paid","Insgesamt in Rechnung gestellt bezahlt"
"Total Invoiced VS Paid Report","Bericht-Gesamt in Rechnung gestellt VS bezahlt"
"Total Invoiced not Paid","Insgesamt in Rechnung gestellt nicht bezahlt"
"Total Ordered Report","Bericht-Gesamtsumme Bestellungen"
"Total Paid","Gesamtbetrag bezahlt"
"Total Qty","Gesamtmenge"
"Total Refund","Gesamterstattung"
"Total Refunded","Gesamterstattung"
"Total Refunded Report","Gesamterstattungs-Bericht"
"Total Sales Shipping","Total Sales Shipping"
"Total Shipped Report","Bericht-Gesamtsumme Versand"
"Total Shipping","Gesamtsumme Versand"
"Total Shipping Charges","Gesamt Summe Versandkosten"
"Total Tax","Gesamtbetrag Steuern"
"Track Order","Sendungsverfolgung"
"Track all shipment(s)","Alle Sendungen verfolgen"
"Track all shipments","Alle Sendungen verfolgen"
"Track this shipment","Diese Sendung verfolgen"
"Track your order","Ihre Bestellung verfolgen"
"Tracking","Sendungsverfolgung"
"Tracking Number","Trackingnummer"
"Tracking Number(s):","Tracking Nummer(n):"
"Transaction "%s" was already processed.","Transaktion "%s" wurde bereits verarbeitet."
"Transaction ID","Transaktion ID"
"Transaction ID must not be empty.","Transaktions-ID darf nicht leer sein."
"Transaction ID: "%s".","Transaktions-ID: "%s"."
"Transaction Type","Transaktions Art"
"Transactions","Transaktionen"
"Trial ","Test "
"Trial Payment","Test Zahlung"
"Trial Period","Test Zeitraum"
"Trial period payment","Test periodische Zahlung"
"Unassign","Lösen"
"Unhold","Wiederaufnehmen"
"Unhold action is not available.","Zurückstellen ist nicht verfügbar."
"Unhold order","Bestellung wiederaufnehmen"
"Unknown State","Zustand unbekannt"
"Unknown Status","Status unbekannt"
"Unsupported transaction type "%s".","Nicht unterstützte Transaktions-Art "%s"."
"Update Changes","Änderungen anwenden"
"Update Items and Qty\'s","Artikel und Stk. aktualisieren"
"Update Qty\'s","Stk. aktualisieren"
"Updated At","Aktualisiert am"
"Updated:","Aktualisiert:"
"Use Aggregated Data (beta)","Verwende Sammlungsdaten (beta)"
"Use Order Status As Default","Bestell-Status als Standard verwenden"
"Validate Each Address Separately in Multi-address Checkout","Validiere jede Adresse im Multi-Adress Checkout"
"Value","Betrag"
"View","Ansehen"
"View All","Alle ansehen"
"View Order","Bestellung ansehen"
"Visible on Frontend","Sichtbar im Frontend"
"Void","Aufheben"
"Void invoice","Rechnung aufheben"
"Voided authorization.","Authorisierung aufgehoben."
"Website","Website"
"Whether buyer can define the date when billing for the profile begins.","Unabhängig davon ob der Käufer definieren kann wann das Zahlungsprofil beginnt."
"Wishlist","Wunschzettel"
"Wrong billing agreement ID specified.","Falsche Verkaufsbedingungs-ID festgelegt."
"Wrong quote item id to update configuration.","Wrong quote item id to update configuration."
"Wrong state: "%s".","Falscher Zustand: "%s"."
"Yes","Ja"
"You can leave a box blank if you don\'t wish to add a gift message for whole order","You can leave a box blank if you don\'t wish to add a gift message for whole order"
"You have placed no orders.","Sie haben keine Bestellungen getätigt."
"You will be redirected to the payment system website.","Sie werden zur Zahlungsabwicklungs-Webseite weiergeleitet."
"Your credit card will be charged for","Ihre Kreditkarte wird belastet für"
"ZIP/Post Code","Postleitzahl"
"Zip/Postal Code","Postleitzahl"
"the credit memo email is not sent","Die Gutschrift E-Mail wurde nicht vergesendet"
"the credit memo email was sent","Die Gutschrift E-Mail wurde versandt"
"the invoice email is not sent","Die Rechnung wurde per E-Mail versandt"
"the invoice email was sent","Die Rechnungs E-Mail wurde versandt"
"the order confirmation email is not sent","Die Bestellbestätigung wurde nicht gesendet"
"the order confirmation email was sent","Die Bestellbestätigung wurde versandt"
"the shipment email is not sent","Die Versand E-Mail wurde nicht gesendet"
"the shipment email was sent","Die Versand E-Mail wurde versandt"
"%s order(s) successfully released from holding status","%s Bestellung(en) erfolgreich wiederhergestellt"
"Add Gift Messsage","Geschenknachricht hinzufügen"
"Add a gift message for <strong>each gift item</strong>","Geschenknachricht für <strong>jedes Geschenk</strong> hinzufügen"
"Add a gift message for the <strong>entire order</strong>","Geschenknachricht für <strong>gesamte Bestellung</strong> hinzufügen"
"Address model is not defined","Address-Model ist nicht definiert"
"Are you sure? This order will be cancelled and a new one will be created instead","Sind Sie sicher? Die Bestellung wird storniert und eine neue dafür angelegt"
"Cannot register existing creditmemo","Existierende Gutschrift konnte nicht registriert werden"
"Custom Options","Individuelle Optionen"
"Edit Gift Messsage","Geschenknachricht bearbeiten"
"Excel","Excel"
"Failed to send order email.","Senden der Bestellbestätigung fehlgeschlagen."
"Gift","Geschenk"
"Grand Total to be charged","Gesamtsumme die belastet werden soll"
"Hold action is not available","Zurückstellen nicht verfügbar"
"If empty, the default description above will be used","Wenn leer wird die Standardbeschreibung oben verwendet"
"If empty, the default error above will be used","Wenn leer wird der Standardfehler oben ausgegeben"
"Invalid block: %s","Ungültiger Block: %s"
"Invalid draw line data. Please define "lines" array","Ungültige Beziehungsdaten. Bitte "lines" array/Feld festlegen"
"Invalid item option format","Ungültiges Elementoptionen Format"
"Invalid request for adding product to quote","Ungültige Anfrage, den Artikel zum Angebot hinzuzufügen"
"Invoice and Ship...","Rechnung und Versand..."
"Link to the new order","Link zur neuen Bestellung"
"Maximum shipping amount allowed to refound is: %s","Der Maximale zu erstattende Versandbetrag ist: %s"
"No order(s) put on hold","Keine Bestellung(en) sind auf zurückhalten gesetzt"
"No order(s) released from holding status","Keine Bestellung(en) mit dem Status zurückhalten"
"Not enough valid data to save parent transaction ID.","Nicht genügend gültige Daten um die aktuelle Transaktion zu speichern."
"Please define PDF object before using","Bitte vor Verwendung ein PDF Objekt festlegen"
"Save and Close Message","Nachricht speichern und schließen"
"Some of the products below don\'t have all the required options. Please remove them and add again with all the required options.","Bei einigen der unten genannten Artikel wurden nicht alle erforderlichen Optionen angegeben. Bitten entfernen Sie diese Artikel und fügen Sie sie mit allen erforderlichen Optionen erneut hinzu."
"There are no printable documents related to selected orders","Es gibt für die ausgewählten Bestellungen keinen zu druckenden Dokumente"
"This order contains (%s) items and therefore cannot be edited through the admin interface at this time, if you wish to continue editing the (%s) items will be removed, the order will be cancelled and a new order will be placed","Diese Bestellung enthällt (%s) Artikel und daher können Sie zu diesem Zeitpunkt nicht über die Administration bearbeitet werden, wenn Sie wünschen die Bearbeitung fortzusetzen (%s) Artikel werden entfernt, die Bestellung wird storniert und eine neue erstellt"
"Tracking Number(s)","Trackingnummer(n)"
